,PRD_SEQ,STAR,USER_ID
0,1,5,1
1,1,1,2
2,1,1,3
3,1,3,4
4,1,2,5
5,1,1,6
6,1,1,7
7,1,2,8
8,1,3,9
9,1,2,10
10,2,5,1
11,2,2,2
12,2,4,3
13,2,2,4
14,2,4,5
15,2,3,6
16,2,3,7
17,2,1,8
18,2,4,9
19,2,2,10
20,3,3,1
21,3,5,2
22,3,1,3
23,3,4,4
24,3,3,5
25,3,3,6
26,3,2,7
27,3,3,8
28,3,1,9
29,3,2,10
30,4,2,1
31,4,5,2
32,4,3,3
33,4,1,4
34,4,3,5
35,4,2,6
36,4,2,7
37,4,4,8
38,4,2,9
39,4,2,10
40,5,3,1
41,5,4,2
42,5,5,3
43,5,2,4
44,5,4,5
45,5,1,6
46,5,4,7
47,5,1,8
48,5,4,9
49,5,3,10
50,6,4,1
51,6,3,2
52,6,5,3
53,6,2,4
54,6,1,5
55,6,4,6
56,6,2,7
57,6,3,8
58,6,4,9
60,7,4,1
61,7,2,2
62,7,1,3
63,7,5,4
64,7,3,5
66,7,1,7
67,7,2,8
68,7,2,9
70,8,4,1
71,8,1,2
72,8,1,3
73,8,5,4
74,8,1,5
76,8,3,7
77,8,1,8
78,8,3,9
80,9,4,1
81,9,3,2
82,9,3,3
83,9,4,4
84,9,5,5
86,9,2,7
87,9,2,8
88,9,1,9
90,10,3,1
91,10,4,2
92,10,3,3
93,10,1,4
94,10,5,5
96,10,1,7
97,10,3,8
98,10,1,9
100,11,1,1
101,11,4,2
102,11,4,3
103,11,4,4
104,11,2,5
106,11,4,7
107,11,4,8
108,11,2,9
110,12,2,1
111,12,1,2
112,12,3,3
113,12,2,4
114,12,4,5
116,12,3,7
117,12,3,8
118,12,1,9
120,13,1,1
121,13,3,2
122,13,3,3
123,13,2,4
124,13,3,5
126,13,5,7
127,13,2,8
128,13,4,9
130,14,3,1
131,14,1,2
132,14,4,3
133,14,4,4
134,14,1,5
136,14,5,7
137,14,2,8
138,14,4,9
140,15,2,1
141,15,4,2
142,15,1,3
143,15,2,4
144,15,2,5
145,15,4,6
146,15,4,7
147,15,5,8
148,15,2,9
149,15,2,10
150,16,4,1
151,16,2,2
152,16,3,3
153,16,3,4
154,16,3,5
155,16,4,6
156,16,3,7
157,16,5,8
158,16,1,9
159,16,2,10
160,17,1,1
161,17,2,2
162,17,1,3
163,17,1,4
164,17,2,5
165,17,3,6
166,17,3,7
167,17,4,8
168,17,5,9
169,17,3,10
170,18,1,1
171,18,3,2
172,18,3,3
173,18,3,4
174,18,1,5
175,18,1,6
176,18,4,7
177,18,3,8
178,18,5,9
179,18,2,10
180,19,1,1
181,19,2,2
182,19,3,3
183,19,2,4
184,19,3,5
185,19,1,6
186,19,2,7
187,19,2,8
188,19,2,9
189,19,5,10
190,20,2,1
191,20,1,2
192,20,1,3
193,20,3,4
194,20,4,5
195,20,4,6
196,20,2,7
197,20,1,8
198,20,2,9
199,20,5,10
