PRD_SEQ,STAR,USER_ID,LAST_CHG_DT
42,4,gonjuleft,2023-07-28 11:47
42,3,bebeto,2023-07-28 11:47
57,5,bebeto,2023-07-28 10:47
57,5,gonjuleft,2023-07-28 10:47
42,5,miso12,2023-07-28 10:47
36,3,miso12,2023-07-28 10:47
12,3,bebeto,2023-07-28 10:47
57,3,miso12,2023-07-28 10:47
24,5,miso12,2023-07-28 10:47
12,3,gonjuleft,2023-07-28 10:47
24,3,ygw0616,2023-07-28 10:47
12,5,miso12,2023-07-28 10:47
15,3,ygw0616,2023-07-28 10:47
12,4,ygw0616,2023-07-28 10:47
49,4,ygw0616,2023-07-28 10:47
54,4,ygw0616,2023-07-28 10:47
57,5,ygw0616,2023-07-28 10:47
15,4,rueful,2023-07-28 10:46
36,4,rueful,2023-07-28 10:46
37,4,rueful,2023-07-28 10:46
54,5,rueful,2023-07-28 10:45
57,5,rueful,2023-07-28 10:45
49,5,userid,2023-07-28 10:42
51,4,userid,2023-07-28 10:40
54,5,userid,2023-07-28 10:40
57,5,userid,2023-07-28 10:39
58,4,userid,2023-07-28 10:37
60,5,userid,2023-07-28 10:37
61,5,userid,2023-07-28 10:31
36,3,gonjuleft,2023-07-28 10:30
36,4,bebeto,2023-07-28 10:30
61,5,ygw0616,2023-07-28 10:19
61,2,cogent@cogent.co.kr,2023-07-27 21:25
42,5,cogent,2023-07-27 20:58
37,5,bebeto,2023-07-27 12:47
61,5,gonjuleft,2023-07-27 12:47
61,3,bebeto,2023-07-27 12:47
61,4,miso12,2023-07-27 10:47
37,4,miso12,2023-07-27 10:47
24,5,gonjuleft,2023-07-26 9:47
15,4,miso12,2023-07-26 9:47
15,5,bebeto,2023-07-26 9:47
