,PRD_SEQ,STAR,USER_ID
5894,59,4,95
3728,38,1,29
8958,90,4,59
7671,77,3,72
5999,60,4,100
5751,58,1,52
1688,17,1,89
6836,69,2,37
6536,66,4,37
4842,49,4,43
15844,159,2,45
196,2,4,97
518,6,1,19
10581,106,2,82
13320,134,4,21
10790,108,1,91
16939,170,1,40
841,9,1,42
9507,96,2,8
10482,105,3,83
5174,52,2,75
19946,200,1,47
14469,145,3,70
7608,77,1,9
11264,113,3,65
14020,141,3,21
18601,187,3,2
19263,193,4,64
7097,71,4,98
12596,126,3,97
454,5,1,55
18086,181,4,87
18220,183,3,21
2862,29,1,63
17392,174,4,93
3852,39,3,53
14004,141,3,5
182,2,3,83
15127,152,3,28
18772,188,1,73
13418,135,2,19
2522,26,4,23
16260,163,2,61
4982,50,4,83
16568,166,3,69
19446,195,3,47
99,1,2,100
11032,111,3,33
10484,105,2,85
15049,151,4,50
10928,110,2,29
18500,186,1,1
12008,121,4,9
18417,185,1,18
19621,197,3,22
16481,165,3,82
9188,92,4,89
15006,151,1,7
4741,48,2,42
1707,18,4,8
254,3,3,55
13544,136,3,45
8441,85,3,42
1302,14,4,3
14441,145,1,42
15076,151,4,77
19382,194,2,83
6918,70,2,19
8454,85,1,55
4625,47,1,26
3930,40,2,31
7180,72,2,81
19845,199,2,46
8825,89,3,26
933,10,4,34
259,3,3,60
19080,191,1,81
15874,159,2,75
9090,91,1,91
2518,26,2,19
19853,199,4,54
1373,14,1,74
19878,199,2,79
4048,41,1,49
6350,64,2,51
8043,81,4,44
14595,146,1,96
2009,21,1,10
7806,79,4,7
19836,199,4,37
11341,114,4,42
3950,40,4,51
9815,99,2,16
16445,165,4,46
2912,30,2,13
16191,162,3,92
2874,29,3,75
8306,84,3,7
1037,11,1,38
2704,28,3,5
8108,82,4,9
8568,86,2,69
9575,96,1,76
13572,136,4,73
9349,94,4,50
11844,119,4,45
14985,150,2,86
9655,97,3,56
15554,156,2,55
15053,151,4,54
10611,107,2,12
13163,132,1,64
11859,119,5,60
13345,134,2,46
15506,156,1,7
1540,16,4,41
15678,157,5,79
2697,27,2,98
2286,23,4,87
4788,48,4,89
16030,161,4,31
18931,190,1,32
13692,137,1,93
17513,176,4,14
6808,69,2,9
19028,191,1,29
8710,88,4,11
13904,140,4,5
19515,196,3,16
11832,119,2,33
15280,153,3,81
10346,104,2,47
5163,52,3,64
1333,14,3,34
5716,58,1,17
14169,142,1,70
10008,101,1,9
15194,152,4,95
1984,20,2,85
4731,48,4,32
2435,25,3,36
9483,95,2,84
10256,103,2,57
19349,194,2,50
12846,129,4,47
7801,79,2,2
3920,40,4,21
14059,141,3,60
9605,97,1,6
5363,54,2,64
7562,76,1,63
9877,99,4,78
19141,192,4,42
2813,29,1,14
7497,75,3,98
536,6,4,37
