,item_id,score
0,1,-2.8964365
1,2,11.138216
2,3,-3.6207857
3,4,5.473463
4,5,7.7563167
5,6,-1.5499748
6,7,-1.574596
7,8,11.8033695
8,9,-5.3983707
9,10,1.2161227
10,11,-4.6482806
11,12,3.001976
12,13,-4.09841
13,14,7.4245706
14,15,4.9993863
15,16,-4.1643744
16,17,5.9543314
17,18,-7.498539
18,19,-1.2424593
19,20,-2.220879
20,21,2.1298509
21,22,-5.716916
22,23,3.879367
23,24,-2.8160183
24,25,-5.4800277
25,26,11.930036
26,27,0.8031841
27,28,-11.166219
28,29,6.313225
29,30,5.166142
30,31,10.007164
31,32,4.442987
32,33,4.3382835
33,34,-1.2234828
34,35,-4.1569853
35,36,3.9984226
36,37,4.9971447
37,38,0.47097147
38,39,-2.7206392
39,40,-1.07689
40,41,-4.813257
41,42,2.9987772
42,43,8.239517
43,44,3.8443384
44,45,-1.0679154
45,46,-0.514784
46,47,-1.6879399
47,48,1.0015337
48,49,1.6570492
49,50,3.473084
50,51,3.3097525
51,52,-2.265959
52,53,0.6192761
53,54,6.811556
54,55,0.53204966
55,56,1.6546936
56,57,4.994942
57,58,-4.5577054
58,59,-6.7840095
59,60,-0.3119521
60,61,2.9998546
